"filename", "language", "JSON with Comments", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\configs\configs.ts", "TypeScript", 0, 31, 0, 0, 9, 40
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\configs\index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\helpers\api-factories.ts", "TypeScript", 0, 24, 0, 0, 4, 28
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\helpers\guards.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\helpers\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\index.ts", "TypeScript", 0, 6, 0, 0, 3, 9
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\public.ts", "TypeScript", 0, 3, 0, 0, 1, 4
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\token-spec\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\token-spec\spec.ts", "TypeScript", 0, 28, 0, 0, 6, 34
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\token-spec\types.ts", "TypeScript", 0, 47, 0, 0, 11, 58
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\types\api-core.ts", "TypeScript", 0, 7, 0, 3, 5, 15
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\types\ctx.ts", "TypeScript", 0, 26, 0, 0, 8, 34
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\types\di.ts", "TypeScript", 0, 25, 0, 1, 7, 33
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\types\index.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\api\types\spec-utils.ts", "TypeScript", 0, 29, 0, 0, 10, 39
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\api-factories.ts", "TypeScript", 0, 6, 0, 0, 3, 9
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\configs\builders.ts", "TypeScript", 0, 17, 0, 0, 4, 21
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\configs\core.ts", "TypeScript", 0, 9, 0, 0, 2, 11
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\configs\factories.ts", "TypeScript", 0, 56, 0, 0, 3, 59
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\configs\index.ts", "TypeScript", 0, 12, 0, 0, 2, 14
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\configs\services.ts", "TypeScript", 0, 9, 0, 0, 2, 11
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\configs\stores.ts", "TypeScript", 0, 15, 0, 0, 2, 17
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\index.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\public.ts", "TypeScript", 0, 3, 0, 0, 1, 4
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\token-spec\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\token-spec\spec.ts", "TypeScript", 0, 25, 0, 1, 2, 28
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\token-spec\types.ts", "TypeScript", 0, 47, 0, 1, 8, 56
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\types\di.ts", "TypeScript", 0, 8, 0, 0, 5, 13
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\deps\types\index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\engine\builder.ts", "TypeScript", 0, 45, 0, 1, 11, 57
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\engine\engine.ts", "TypeScript", 0, 31, 0, 0, 7, 38
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\engine\helpers\buildApi.ts", "TypeScript", 0, 31, 0, 3, 8, 42
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\engine\helpers\buildDeps.ts", "TypeScript", 0, 28, 0, 4, 8, 40
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\engine\helpers\index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\engine\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\engine\options.ts", "TypeScript", 0, 4, 0, 0, 2, 6
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\errors\errors.ts", "TypeScript", 0, 107, 0, 0, 3, 110
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\errors\index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\errors\types.ts", "TypeScript", 0, 13, 0, 0, 1, 14
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\eventBus\engineBus.ts", "TypeScript", 0, 4, 0, 0, 3, 7
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\eventBus\events\core\apiEvents.ts", "TypeScript", 0, 10, 0, 0, 3, 13
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\eventBus\events\core\index.ts", "TypeScript", 0, 3, 0, 0, 3, 6
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\eventBus\events\engine\eventMap.ts", "TypeScript", 0, 3, 0, 0, 3, 6
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\eventBus\events\engine\eventPatterns.ts", "TypeScript", 0, 22, 0, 0, 4, 26
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\eventBus\events\engine\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\eventBus\events\index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\eventBus\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\index.ts", "TypeScript", 0, 8, 0, 0, 2, 10
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\infra\EngineSafeRunner.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\infra\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\infra\types.ts", "TypeScript", 0, 4, 0, 0, 2, 6
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\builders\CircuitIOBuilder.ts", "TypeScript", 0, 50, 0, 0, 12, 62
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\builders\ItemBuilder.ts", "TypeScript", 0, 34, 0, 0, 9, 43
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\builders\RemapService.ts", "TypeScript", 0, 65, 0, 2, 18, 85
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\builders\ResultAccumulator.ts", "TypeScript", 0, 17, 0, 0, 6, 23
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\builders\StructureBuilder.ts", "TypeScript", 0, 110, 0, 0, 22, 132
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\builders\index.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\helpers.ts", "TypeScript", 0, 12, 0, 0, 3, 15
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\setup.ts", "TypeScript", 0, 16, 0, 0, 4, 20
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\types\ItemBuilder.ts", "TypeScript", 0, 26, 0, 0, 6, 32
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\types\StructureBuilder.ts", "TypeScript", 0, 6, 0, 0, 2, 8
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\item-builder\types\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\plugins\definePlugin.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\plugins\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\plugins\types.ts", "TypeScript", 0, 32, 0, 1, 8, 41
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\tab-factory\creator.ts", "TypeScript", 0, 12, 0, 0, 3, 15
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\tab-factory\index.ts", "TypeScript", 0, 3, 0, 0, 1, 4
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\tab-factory\setup.ts", "TypeScript", 0, 21, 0, 0, 5, 26
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\tab-factory\tab.ts", "TypeScript", 0, 19, 0, 0, 4, 23
