Date : 2026-03-01 21:09:08
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps\web
Total : 220 files,  7049 codes, 40 comments, 1349 blanks, all 8438 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\shared\infrastructure\ui-engine\services\cache                                                                                                      |          5 |        153 |          0 |         37 |        190 |
| src\shared\infrastructure\ui-engine\services\edges                                                                                                      |          2 |         27 |          0 |         10 |         37 |
| src\shared\infrastructure\ui-engine\services\event-bus                                                                                                  |          4 |        133 |          0 |         35 |        168 |
| src\shared\infrastructure\ui-engine\services\node-visual                                                                                                |          8 |        340 |          0 |         75 |        415 |
| src\shared\infrastructure\ui-engine\services\node-visual (Files)                                                                                        |          7 |        324 |          0 |         71 |        395 |
| src\shared\infrastructure\ui-engine\services\node-visual\lib                                                                                            |          1 |         16 |          0 |          4 |         20 |
| src\shared\infrastructure\ui-engine\services\nodes                                                                                                      |          4 |        157 |          0 |         27 |        184 |
| src\shared\infrastructure\ui-engine\services\nodes (Files)                                                                                              |          2 |         51 |          0 |         12 |         63 |
| src\shared\infrastructure\ui-engine\services\nodes\lib                                                                                                  |          2 |        106 |          0 |         15 |        121 |
| src\shared\infrastructure\ui-engine\services\ports                                                                                                      |          2 |         57 |          0 |         15 |         72 |
| src\shared\infrastructure\ui-engine\services\signals                                                                                                    |          2 |         56 |          0 |         17 |         73 |
| src\shared\infrastructure\ui-engine\services\snapshot                                                                                                   |          3 |         66 |          0 |         17 |         83 |
| src\shared\lib                                                                                                                                          |         11 |        143 |         10 |         38 |        191 |
| src\shared\ui                                                                                                                                           |         20 |        634 |          2 |        143 |        779 |
| src\shared\ui (Files)                                                                                                                                   |          8 |        248 |          2 |         48 |        298 |
| src\shared\ui\Container                                                                                                                                 |          2 |         32 |          0 |          6 |         38 |
| src\shared\ui\ContextMenu                                                                                                                               |          1 |         37 |          0 |          8 |         45 |
| src\shared\ui\ListScroller                                                                                                                              |          7 |        209 |          0 |         53 |        262 |
| src\shared\ui\styles                                                                                                                                    |          2 |        108 |          0 |         28 |        136 |
| src\widgets                                                                                                                                             |         35 |      1,345 |          2 |        237 |      1,584 |
| src\widgets\TabBar                                                                                                                                      |         14 |        330 |          0 |         56 |        386 |
| src\widgets\TabBar (Files)                                                                                                                              |          1 |          1 |          0 |          1 |          2 |
| src\widgets\TabBar\ui                                                                                                                                   |         13 |        329 |          0 |         55 |        384 |
| src\widgets\TabBar\ui (Files)                                                                                                                           |          6 |        166 |          0 |         23 |        189 |
| src\widgets\TabBar\ui\TabButton                                                                                                                         |          5 |        122 |          0 |         24 |        146 |
| src\widgets\TabBar\ui\TabContextMenu                                                                                                                    |          2 |         41 |          0 |          8 |         49 |
| src\widgets\Workspace                                                                                                                                   |         21 |      1,015 |          2 |        181 |      1,198 |
| src\widgets\Workspace (Files)                                                                                                                           |          1 |          1 |          0 |          1 |          2 |
| src\widgets\Workspace\lib                                                                                                                               |         16 |        782 |          2 |        164 |        948 |
| src\widgets\Workspace\lib (Files)                                                                                                                       |          6 |        419 |          2 |         79 |        500 |
| src\widgets\Workspace\lib\bridge                                                                                                                        |          5 |        250 |          0 |         54 |        304 |
| src\widgets\Workspace\lib\node-interactions                                                                                                             |          5 |        113 |          0 |         31 |        144 |
