Date : 2026-03-01 21:09:08
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps\web
Total : 148 files,  2954 codes, -265 comments, 458 blanks, all 3147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\shared\infrastructure\ui-engine\services\node-visual (Files)                                                                                        |          7 |        324 |          0 |         71 |        395 |
| src\shared\infrastructure\ui-engine\services\node-visual\lib                                                                                            |          1 |         16 |          0 |          4 |         20 |
| src\shared\infrastructure\ui-engine\services\nodes                                                                                                      |          2 |         27 |          0 |          4 |         31 |
| src\shared\infrastructure\ui-engine\services\nodes (Files)                                                                                              |          1 |         15 |          0 |          2 |         17 |
| src\shared\infrastructure\ui-engine\services\nodes\lib                                                                                                  |          1 |         12 |          0 |          2 |         14 |
| src\shared\infrastructure\ui-engine\services\ports                                                                                                      |          1 |        -77 |         -1 |         -6 |        -84 |
| src\shared\infrastructure\ui-engine\services\signals                                                                                                    |          2 |         56 |          0 |         17 |         73 |
| src\shared\lib                                                                                                                                          |          2 |         34 |          4 |          8 |         46 |
| src\shared\ui                                                                                                                                           |          1 |        -13 |          0 |         -1 |        -14 |
| src\shared\ui\styles                                                                                                                                    |          1 |        -13 |          0 |         -1 |        -14 |
| src\widgets                                                                                                                                             |         22 |        733 |          0 |        147 |        880 |
| src\widgets\TabBar                                                                                                                                      |          2 |         -1 |          0 |         -1 |         -2 |
| src\widgets\TabBar\ui                                                                                                                                   |          2 |         -1 |          0 |         -1 |         -2 |
| src\widgets\TabBar\ui (Files)                                                                                                                           |          1 |          0 |          0 |         -1 |         -1 |
| src\widgets\TabBar\ui\TabButton                                                                                                                         |          1 |         -1 |          0 |          0 |         -1 |
| src\widgets\Workspace                                                                                                                                   |         20 |        734 |          0 |        148 |        882 |
| src\widgets\Workspace\lib                                                                                                                               |         16 |        782 |          2 |        164 |        948 |
| src\widgets\Workspace\lib (Files)                                                                                                                       |          6 |        419 |          2 |         79 |        500 |
| src\widgets\Workspace\lib\bridge                                                                                                                        |          5 |        250 |          0 |         54 |        304 |
| src\widgets\Workspace\lib\node-interactions                                                                                                             |          5 |        113 |          0 |         31 |        144 |
| src\widgets\Workspace\lib\node-interactions (Files)                                                                                                     |          4 |         60 |          0 |         19 |         79 |
| src\widgets\Workspace\lib\node-interactions\handlers                                                                                                    |          1 |         53 |          0 |         12 |         65 |
| src\widgets\Workspace\ui                                                                                                                                |          4 |        -48 |         -2 |        -16 |        -66 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\AGENTS.md                                                                                       | Markdown           |         66 |          0 |         34 |        100 |
