Date : 2026-02-12 15:14:43
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps
Total : 591 files,  -4156 codes, -201 comments, -1047 blanks, all -5404 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         35 |      1,237 |          6 |        225 |      1,468 |
| PostCSS            |          1 |        157 |          0 |         22 |        179 |
| SCSS               |          1 |        120 |          0 |         28 |        148 |
| HTML               |          2 |         52 |          0 |          2 |         54 |
| Markdown           |          1 |         10 |          0 |          7 |         17 |
| XML                |          1 |          4 |          0 |          1 |          5 |
| JSON with Comments |         12 |       -131 |          0 |        -10 |       -141 |
| JSON               |         18 |       -566 |          0 |        -16 |       -582 |
| TypeScript         |        520 |     -5,039 |       -207 |     -1,306 |     -6,552 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| ..\packages\engine\src\template-builder                                                                                                        |         13 |       -398 |         -1 |        -90 |       -489 |
| ..\packages\engine\src\template-builder (Files)                                                                                                |          2 |        -27 |          0 |         -5 |        -32 |
| ..\packages\engine\src\template-builder\__tests_                                                                                               |          3 |       -120 |          0 |        -33 |       -153 |
| ..\packages\engine\src\template-builder\builders                                                                                               |          5 |       -223 |         -1 |        -44 |       -268 |
| ..\packages\engine\src\template-builder\types                                                                                                  |          3 |        -28 |          0 |         -8 |        -36 |
| ..\packages\engine\src\use-cases                                                                                                               |         28 |       -715 |        -30 |       -171 |       -916 |
| ..\packages\engine\src\use-cases (Files)                                                                                                       |          2 |        -16 |          0 |         -4 |        -20 |
| ..\packages\engine\src\use-cases\guards                                                                                                        |          2 |        -28 |          0 |         -5 |        -33 |
| ..\packages\engine\src\use-cases\internal                                                                                                      |          6 |       -250 |        -14 |        -78 |       -342 |
| ..\packages\engine\src\use-cases\operations                                                                                                    |          7 |       -195 |        -16 |        -21 |       -232 |
| ..\packages\engine\src\use-cases\public                                                                                                        |          7 |       -143 |          0 |        -42 |       -185 |
| ..\packages\engine\src\use-cases\tools                                                                                                         |          4 |        -83 |          0 |        -21 |       -104 |
| ..\packages\engine\src\use-cases\tools (Files)                                                                                                 |          1 |         -1 |          0 |         -1 |         -2 |
| ..\packages\engine\src\use-cases\tools\FlowTool                                                                                                |          3 |        -82 |          0 |        -20 |       -102 |
| ..\packages\entities-runtime                                                                                                                   |         50 |       -827 |        -43 |       -190 |     -1,060 |
